0.3625000000      0.3825000000       0.3719018744	  0.6565420040       0.0276786857
0.3825000000      0.4025000000       0.3918758655	  0.4536092724       0.0182848163
0.4025000000      0.4225000000       0.4118473008	  0.3132599891       0.0140269174
0.4225000000      0.4425000000       0.4318389316	  0.2075496683       0.0090883355
0.4425000000      0.4625000000       0.4518495106	  0.1270224204       0.0062466529
0.4625000000      0.4825000000       0.4718758696	  0.0952062265       0.0055762478
0.4825000000      0.5025000000       0.4918862718	  0.0718480301       0.0053804092
0.5025000000      0.5225000000       0.5118583552	  0.0413365401       0.0044094419
0.5225000000      0.5425000000       0.5318073822	  0.0319261621       0.0041401183
0.5425000000      0.5625000000       0.5517973493	  0.0208558243       0.0032507138
0.5625000000      0.5825000000       0.5719000603	  0.0158656687       0.0029479661
0.5825000000      0.6025000000       0.5921277024	  0.0098422699       0.0020608916
0.6025000000      0.6225000000       0.6123905575	  0.0085377081       0.0019224997
0.6225000000      0.6425000000       0.6329512410	  0.0091699881       0.0017029489
0.6425000000      0.6625000000       0.6529822437	  0.0130755787       0.0031223883
0.6625000000      0.6825000000       0.6726609057	  0.0170792666       0.0046530397
0.6825000000      0.7225000000       0.7021351879	  0.0148047591       0.0027070127
0.7225000000      0.7625000000       0.7411852318	  0.0121957827       0.0029680259
